名称,営業日,住所,アクセス
渋谷 マスダ亭,月、火、金、祝前日: 12:00～15:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～22:15 （料理L.O. 21:30 ドリンクL.O. 21:30）水、木: 17:00～22:15 （料理L.O. 21:30 ドリンクL.O. 21:30）土、日、祝日: 12:00～22:15 （料理L.O. 21:30 ドリンクL.O. 21:30）,東京都渋谷区宇田川町22-1,渋谷駅徒歩1分　ハチ公口出て看板が見えます。
DRESS GRAPE ドレスグレープ,火～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区桜丘町14－10澁谷コープ１F,ＪＲ，東京メトロ銀座線渋谷駅西口より徒歩約5分/東京メトロ，東急渋谷駅Ｂ６出口より徒歩約7分
しぶ谷やました,月～土: 11:30～14:0017:00～23:00,東京都渋谷区道玄坂２-２９-１８　清水ビル６F,JR渋谷駅から徒歩5分、東京メトロ渋谷駅3a出口 徒歩1分
しゃぶ葉 渋谷駅前店,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-３－１渋谷駅前ビル　９Ｆ,渋谷駅
炭火焼ホルモン ぐう 渋谷,月～日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-27-11 GEMS渋谷9F,ＪＲ渋谷駅新南口より徒歩約1分
ディプント Di PUNTO 渋谷駅前店,月～金、祝前日: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土、日、祝日: 13:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）,東京都渋谷区渋谷１－２４－１６　みずほ銀行遠州屋共同ビルB１F,渋谷駅前　徒歩1分
渋谷ハイボールバー,月～金、祝前日: 16:00～翌5:00土: 15:00～翌5:00日、祝日: 15:00～23:00,東京都渋谷区宇田川町２３ー１０　ＶＩＶＥＬ渋谷　地下１階,JR山手線「渋谷駅」徒歩2分／銀座線「渋谷駅」徒歩2分／副都心線「渋谷駅」徒歩2分／半蔵門線「渋谷駅」徒歩2分 
アウトバックステーキハウス 渋谷店,月～木、祝前日: 17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）金: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 21:00）土: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 21:00）日、祝日: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,東京都渋谷区宇田川町３４－１,JR・東急・京王・東京メトロ　渋谷駅・ハチ公口から徒歩5分
ミラン ナタラジ 渋谷店,月～日、祝日、祝前日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区神南１-22-7 岩本ビル3F,各線「渋谷駅」ハチ公口から徒歩3分。公園通り(西武と109MEN’S間)、マルイ隣のビル3F。  B1F「一欄」が目印。
LAUREL TOKYO ローレルトーキョー,月～日、祝日、祝前日: 12:00～翌5:00,東京都渋谷区道玄坂１-17-9 SK PLAZAビル B1F,渋谷駅東口徒歩5分／道玄坂の好立地！！貸切50名様～◎オープン席もご用意しております◎
バーボンストリート 渋谷,月～金、祝前日: 17:00～翌1:30 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）土: 13:00～翌1:30 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）日、祝日: 13:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区桜丘町１６－９　ＤＫ渋谷Ｂ１,ＪＲ渋谷駅 西口 徒歩2分/東急東横線 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分/京王井の頭線 渋谷駅 徒歩2分
NIWATORI TOKYO/SHIBUYA @ THE BAR ニワトリ トウキョウ シブヤ アット ザ バー,月、火、木～日、祝日、祝前日: 20:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）,東京都渋谷区道玄坂１-6-6　渋谷KSビル　3階,渋谷駅徒歩約3分
イタリアンVINO 渋谷,月～土、祝日、祝前日: 12:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区渋谷１－１１－３　正栄ビル１Ｆ,"JR渋谷駅東口徒歩5分/ヒカリエ2分/東横副都心線3分/宮益坂下信号を背に50m先の野村証券右,坂道200m通りを出て左に2件目"
バーボンストリート 渋谷,月～金、祝前日: 17:00～翌1:30 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）土: 13:00～翌1:30 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）日、祝日: 13:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区桜丘町１６－９　ＤＫ渋谷Ｂ１,ＪＲ渋谷駅 西口 徒歩2分/東急東横線 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分/京王井の頭線 渋谷駅 徒歩2分
ジンナンカフェ 渋谷,月～金: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 09:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区神南１-17-5 クーラビル1F・B1F,東京メトロ，東急渋谷駅Ｂ１出口より徒歩約6分
Bar Rudies バー ルーディーズ,月～金、祝前日: 11:30～翌3:00土: 14:00～翌0:00日: 14:00～23:00祝日: 15:00～23:00,東京都渋谷区道玄坂１-7-10 新大宗ソシアルビル 5F,山手線　　渋谷駅ハチ公口より徒歩5分井の頭線　渋谷駅西口より徒歩2分
うーみや 渋谷道玄坂店,月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:20）,東京都渋谷区道玄坂２-28-1椎津ビルB1F,JR渋谷駅 徒歩5分
渋谷貸切パーティー SuNaBa スナバ,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区道玄坂１-3-11 一番ビルB2,渋谷駅１分！マークシティー隣、雨の日でもほぼ濡れずに来店可能。
ロクシタンカフェ　渋谷店,月～日、祝日、祝前日: 10:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区道玄坂２丁目3-1 渋谷駅前ビル2-3階,渋谷駅から徒歩3分
チルイン 渋谷センター街店,月～日、祝日、祝前日: 15:00～翌5:00 （料理L.O. 翌4:00）,東京都渋谷区宇田川町28-1 高山ランド第15ビル5F,渋谷駅A2出口から徒歩3分
焼肉 寿亭 渋谷店,月～土、祝前日: 11:00～翌4:30 （料理L.O. 翌4:00）日、祝日: 11:00～23:00 （料理L.O. 22:30）,東京都渋谷区道玄坂２－９－２　Ｂ1Ｆ,京王井の頭線渋谷駅西口 徒歩1分／JR渋谷駅ハチ公口 徒歩2分／東急田園都市線渋谷駅 徒歩2分
ラウンジ ノイズ Lounge Noiz,月: 19:00～翌5:00 （料理L.O. 23:00 ドリンクL.O. 翌4:30）火～日、祝日、祝前日: 19:00～翌5:00 （料理L.O. 翌2:00 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂２－２９－１８ 才藤第二ビル6F,【渋谷駅ハチ公口から徒歩3分】109とアディダスショップの通りから東急を目指して直進→LABIの先にある才藤第二ビルの6F
渋谷 BAR FIVE,月～土: 18:00～翌2:00 （料理L.O. 翌0:30 ドリンクL.O. 翌1:00）祝日、祝前日: 18:00～翌2:00 （料理L.O. 翌0:00 ドリンクL.O. 翌1:00）,東京都渋谷区道玄坂１-7-1 渋谷グローリアビル１F,渋谷駅から徒歩3分　245m（東急プラザデパート正面玄関の右脇のアーケードを直進。一つ目の交差点）
長崎飯店 渋谷店,月～金、祝前日: 11:00～14:3017:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土: 11:00～14:30,東京都渋谷区道玄坂２‐１０‐１２新大宗ビル３号館,JR渋谷駅徒歩3分／京王井の頭線渋谷駅西口徒歩2分／東急東横線渋谷駅徒歩4分／地下鉄半蔵門線渋谷駅徒歩4分
カルニセリア CARNICERIA,月～木: 11:30～16:00 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）金: 11:30～16:00 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）土、祝前日: 11:30～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）日: 11:30～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,東京都渋谷区宇田川町15-1 PARCO B1F,渋谷駅から徒歩10分/渋谷PARCOのB1Fにございます。
鳥ぶらん,月～木: 17:00～翌0:00金、土: 17:00～翌3:00 （料理L.O. 翌3:00）日: 17:00～翌0:00 （料理L.O. 23:30）,東京都渋谷区道玄坂１-10-1 地下1階,渋谷駅井の頭線西口出口から徒歩約1分  /　渋谷駅井の頭線中央改札出口(南側)出口から徒歩約2分
神戸焼肉 かんてき 渋谷,月～金: 18:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）土、祝前日: 17:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）日、祝日: 17:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）,東京都渋谷区道玄坂２-7-6,渋谷駅から徒歩1分／マークシティすぐ。
渋谷松川 渋谷駅ハチ公前本店,月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30）,東京都渋谷区宇田川町２２－１,渋谷駅ハチ公口徒歩1分
FLORA BOX フローラボックス 85,火～土、祝日、祝前日: 16:00～23:30,東京都渋谷区渋谷１－２４－５　ドクターズビルＢ１Ｆ,渋谷駅徒歩2分/ヒカリエから徒歩2分 宮益坂口からビックカメラ方面へ。宮下公園へ向かう道にあるファミリーマートの隣
フリーマンカフェ 渋谷メトロプラザ,月～日、祝日、祝前日: 09:00～23:00 （料理L.O. 21:45 ドリンクL.O. 22:00）,東京都渋谷区渋谷１-16-14 メトロプラザ2F,東京メトロ，東急渋谷駅Ｂ１出口より徒歩約0分
ピノサリーチェ,火、水、金、土: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都渋谷区鶯谷町１５-１０　ロイヤルパレス１０２,渋谷駅南口より徒歩約7分（ただいま再開発工事中のため、迂回ルートで10分ほどかかります）
